2017/11/08 19:41:11 [INFO] Terraform version: 0.10.0  2041053ee9444fa8175a298093b55a89586a1823
2017/11/08 19:41:11 [INFO] Go runtime version: go1.8
2017/11/08 19:41:11 [INFO] CLI args: []string{"/Users/heguimin/Projects/go/bin/terraform", "plan"}
2017/11/08 19:41:11 [DEBUG] Attempting to open CLI config file: /Users/heguimin/.terraformrc
2017/11/08 19:41:11 [DEBUG] File doesn't exist, but doesn't need to. Ignoring.
2017/11/08 19:41:11 [INFO] CLI command args: []string{"plan"}
2017/11/08 19:41:11 [INFO] command: empty terraform config, returning nil
2017/11/08 19:41:11 [DEBUG] command: no data state file found for backend config
2017/11/08 19:41:11 [DEBUG] New state was assigned lineage "cf6c2c79-da72-4be6-84c7-9a4b939492b5"
2017/11/08 19:41:11 [INFO] command: backend initialized: <nil>
2017/11/08 19:41:11 [DEBUG] checking for provider in "."
2017/11/08 19:41:11 [DEBUG] skipping "main.tf", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "terraform.log", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "variables.tf", not a provider
2017/11/08 19:41:11 [DEBUG] checking for provider in "/Users/heguimin/Projects/go/bin"
2017/11/08 19:41:11 [DEBUG] skipping ".DS_Store", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "basic", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "bin 2", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "errcheck", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "go-getter", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "govendor", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "jpgo", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "mockingClientsForTests", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "packer", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "packer-bak", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "packer-builder-alicloud-ecs", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "packer_1.0.0_darwin_amd64.zip", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-archive", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-atlas", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-aws", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-azure", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-azurerm", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-bitbucket", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-chef", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-clc", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-cloudflare", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-cloudstack", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-cobbler", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-consul", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-datadog", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-digitalocean", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-dme", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-dnsimple", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-docker", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-dyn", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-fastly", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-github", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-google", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-grafana", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-heroku", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-influxdb", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-librato", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-logentries", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-mailgun", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-mysql", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-null", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-openstack", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-packet", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-pagerduty", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-postgresql", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-powerdns", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-random", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-rundeck", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-scaleway", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-softlayer", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-statuscake", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-template", not a provider
2017/11/08 19:41:11 [DEBUG] skipping "provider-terraform", not a provider
